iter	Passed	Remaining
0	0	264
1	1	250
2	2	246
3	3	241
4	4	237
5	4	237
6	5	237
7	6	237
8	7	237
9	8	236
10	8	235
11	9	234
12	10	234
13	11	232
14	12	230
15	13	231
16	13	229
17	14	229
18	15	227
19	16	227
20	17	226
21	17	225
22	18	223
23	19	222
24	20	221
25	20	219
26	21	218
27	22	218
28	23	217
29	24	216
30	24	215
31	25	214
32	26	214
33	27	213
34	28	212
35	28	212
36	29	211
37	30	211
38	31	210
39	32	209
40	33	209
41	33	208
42	34	207
43	35	206
44	36	205
45	37	205
46	37	204
47	38	203
48	39	202
49	40	201
50	41	200
51	41	200
52	42	199
53	43	198
54	44	197
55	45	197
56	46	196
57	46	195
58	47	195
59	48	194
60	49	193
61	50	192
62	51	192
63	51	191
64	52	190
65	53	189
66	54	188
67	54	187
68	55	186
69	56	185
70	57	184
71	58	184
72	58	183
73	59	182
74	60	181
75	61	181
76	62	180
77	63	179
78	63	178
79	64	177
80	65	176
81	66	175
82	66	175
83	67	174
84	68	173
85	69	172
86	70	171
87	71	171
88	71	170
89	72	169
90	73	168
91	74	167
92	74	166
93	75	165
94	76	165
95	77	164
96	78	163
97	78	162
98	79	161
99	80	160
100	81	160
101	82	159
102	82	158
103	83	157
104	84	156
105	85	155
106	85	155
107	86	154
108	87	153
109	88	152
110	89	151
111	89	150
112	90	150
113	91	149
114	92	148
115	93	147
116	93	146
117	95	147
118	96	146
119	97	145
120	97	144
121	98	143
122	99	142
123	100	142
124	100	141
125	101	140
126	102	139
127	103	138
128	104	137
129	104	137
130	105	136
131	106	135
132	107	134
133	108	134
134	109	133
135	109	132
136	110	131
137	111	130
138	112	129
139	112	129
140	113	128
141	114	127
142	115	126
143	116	125
144	116	125
145	117	124
146	118	123
147	119	122
148	120	121
149	121	121
150	121	120
151	122	119
152	123	118
153	124	117
154	125	117
155	125	116
156	126	115
157	127	114
158	128	113
159	129	112
160	129	112
161	130	111
162	131	110
163	132	109
164	133	108
165	133	108
166	134	107
167	135	106
168	136	105
169	137	104
170	137	104
171	138	103
172	139	102
173	140	101
174	141	100
175	141	100
176	142	99
177	143	98
178	144	97
179	145	96
180	146	95
181	146	95
182	147	94
183	148	93
184	149	92
185	150	91
186	150	91
187	151	90
188	152	89
189	153	88
190	153	87
191	154	87
192	155	86
193	156	85
194	157	84
195	158	83
196	158	83
197	159	82
198	160	81
199	161	80
200	162	79
201	163	79
202	163	78
203	164	77
204	165	76
205	166	75
206	167	75
207	167	74
208	168	73
209	169	72
210	170	71
211	171	71
212	171	70
213	172	69
214	173	68
215	174	67
216	175	67
217	176	66
218	176	65
219	177	64
220	178	63
221	179	62
222	180	62
223	180	61
224	181	60
225	182	59
226	183	58
227	184	58
228	184	57
229	185	56
230	186	55
231	187	54
232	188	54
233	189	53
234	190	52
235	190	51
236	191	50
237	192	50
238	193	49
239	193	48
240	194	47
241	195	46
242	196	46
243	197	45
244	198	44
245	198	43
246	199	42
247	200	42
248	201	41
249	202	40
250	203	39
251	203	38
252	204	38
253	205	37
254	206	36
255	207	35
256	208	34
257	208	34
258	209	33
259	210	32
260	211	31
261	212	30
262	213	29
263	213	29
264	214	28
265	215	27
266	216	26
267	217	25
268	218	25
269	219	24
270	220	23
271	220	22
272	221	21
273	222	21
274	223	20
275	224	19
276	224	18
277	225	17
278	226	17
279	227	16
280	228	15
281	228	14
282	229	13
283	230	12
284	231	12
285	232	11
286	232	10
287	233	9
288	234	8
289	235	8
290	236	7
291	237	6
292	237	5
293	238	4
294	239	4
295	240	3
296	241	2
297	241	1
298	242	0
299	243	0
