"thu","ngay","dot","ky","n1","n2","n3","n4","n5","n6","dd_cnt","dd_amt","g1_cnt","g1_amt","g2_cnt","g2_amt","g3_cnt","g3_amt","g4_cnt","g4_amt","g5_cnt","g5_amt","kk_cnt","kk_amt","dec0","dec1","dec2","dec3","dbx","dbdd","dd","sc","cam","snt","snt_cnt","xx","ke","t1","g0","p1","mod","sum","dec","dec_ck","cl5","cl5_ck","jpp","qh_ky","qh_hit","qhl","qhc","jpck","jpm_info","jpm_cnt","is_jp","is_chia","is_day","updated_at"
T2,2026-05-11,"1","00633",8,15,22,26,30,4,0,8873144000,0,10000000,7,5000000,75,500000,138,100000,1934,30000,11059,10000,1,1,2,1,X,C,CC,4,,,0,"22",0,0,1,1,,101,"1121",14,CLCCC,1,11,20,,,0,25,"422 (00211: 8-15-22-26-28)",4,false,false,false,2026-05-11 13:11:22.066 +0700
T4,2026-05-06,"1","00623",8,12,16,24,27,7,0,7464177500,1,10000000,6,5000000,79,500000,222,100000,1840,30000,15667,10000,1,2,2,0,Y,L,CL,4,"3",,0,,0,0,1,1,,87,"1220",39,CCCCL,2,14,20,,"18",1,15,"20 (00603: 8-12-13-16-24)",4,false,false,false,2026-05-11 13:11:22.135 +0700
T3,2026-05-05,"2","00622",8,15,30,32,34,6,0,7434742500,0,10000000,3,5000000,65,500000,188,100000,2230,30000,16102,10000,1,1,0,3,Y,C,CC,4,"2",,0,,0,1,0,1,,119,"1103",17,CLCCC,40,17,20,,"18",1,14,"35 (00587: 17-19-30-32-34)",3,false,false,false,2026-05-11 13:11:22.140 +0700
T3,2026-05-05,"1","00621",10,20,24,26,33,3,0,7271157500,0,10000000,8,5000000,52,500000,140,100000,1727,30000,10703,10000,0,1,3,1,X,L,CL,4,"0",,0,"33",0,0,0,0,"02",113,"0131",45,CCCCL,63,13,20,,"18",1,13,"185 (00436: 1-20-24-26-35)",3,false,false,false,2026-05-11 13:11:22.143 +0700
T2,2026-05-04,"2","00620",3,13,17,31,35,2,0,7176397500,1,10000000,7,5000000,63,500000,171,100000,2501,30000,15123,10000,1,2,0,2,X,C,LL,0,"2","3-13-17-31",4,,0,0,0,2,"32",99,"1202",27,LLLLL,40,8,20,,"18",1,12,"13 (00607: 3-9-13-30-35)",3,false,false,false,2026-05-11 13:11:22.146 +0700
T2,2026-05-04,"1","00619",8,16,21,28,34,6,0,6972410000,1,10000000,3,5000000,54,500000,129,100000,1522,30000,10854,10000,1,1,2,1,Y,C,CC,4,,,0,,0,1,1,1,"82",107,"1121",6,CCLCC,16,9,20,,"18",1,11,"21 (00598: 1-8-16-21-34)",4,false,false,false,2026-05-11 13:11:22.149 +0700
CN,2026-05-03,"2","00618",6,8,14,17,20,8,0,6857455000,1,10000000,11,5000000,90,500000,197,100000,2053,30000,16707,10000,2,2,1,0,Y,C,CC,4,"3","17",1,,0,0,2,0,,65,"2210",24,CCCLC,1,15,20,,"18",1,10,"105 (00513: 6-8-17-20-24)",4,false,false,false,2026-05-11 13:11:22.153 +0700
CN,2026-05-03,"1","00617",10,14,20,25,28,12,0,6792272500,1,10000000,4,5000000,57,500000,127,100000,1733,30000,8762,10000,0,2,3,0,Z,C,CC,4,"0,3",,0,,0,1,1,0,"02",97,"0230",7,CCCLC,64,18,20,,"18",1,9,"88 (00529: 3-14-25-28-32)",3,false,false,false,2026-05-11 13:11:22.159 +0700
T7,2026-05-02,"2","00616",1,5,10,12,15,9,0,6699380000,5,10000000,12,5000000,83,500000,210,100000,2099,30000,15723,10000,2,3,0,0,Z,L,LL,2,"2,3","5",1,,0,1,0,0,"52",43,"2300",85,LLCCL,12,17,20,,"18",1,8,"32 (00584: 1-10-15-25-27)",3,false,false,false,2026-05-11 13:11:22.161 +0700
T7,2026-05-02,"1","00615",2,7,19,23,35,6,0,6699380000,1,10000000,3,5000000,51,500000,114,100000,1398,30000,8384,10000,2,1,1,1,Y,C,CL,1,,"2-7-19-23",4,,0,0,1,2,,86,"2111",1,CLLLL,6,18,20,,"18",1,7,"43 (00572: 7-15-19-23-24)",3,false,false,true,2026-05-11 13:11:22.164 +0700
T6,2026-05-01,"2","00614",6,9,19,29,34,6,0,6604325000,1,10000000,13,5000000,92,500000,200,100000,2085,30000,12450,10000,2,1,1,1,Y,C,CC,2,,"19-29",2,,0,0,1,2,"93",97,"2111",6,CLLLC,4,9,20,,,0,6,"137 (00477: 8-9-19-29-30)",3,false,false,false,2026-05-11 13:11:22.168 +0700
T6,2026-05-01,"1","00613",3,11,28,29,33,3,0,6554037500,1,10000000,4,5000000,50,500000,213,100000,1576,30000,10769,10000,1,1,2,1,X,L,LL,1,,"3-11-29",3,"11,33",1,0,0,0,"32",104,"1121",1,LLCLL,1,34,20,"11","11",1,5,"173 (00440: 5-10-11-28-29)",3,false,false,false,2026-05-11 13:11:22.170 +0700
T5,2026-04-30,"2","00612",9,13,20,23,31,1,0,6478110000,0,10000000,3,5000000,62,500000,106,100000,1861,30000,8458,10000,1,1,2,1,X,L,LL,1,,"13-23-31",3,,0,0,1,0,"32",96,"1121",3,LLCLL,64,6,20,,"11",1,4,"157 (00455: 9-20-23-26-34)",3,false,false,false,2026-05-11 13:11:22.173 +0700
T5,2026-04-30,"1","00611",4,5,6,17,20,6,0,6306837500,0,10000000,6,5000000,71,500000,143,100000,1541,30000,9842,10000,3,1,1,0,Y,C,CC,3,"3","5-17",2,,2,1,0,2,,52,"3110",12,CLCLC,36,9,20,,"11",1,3,"9 (00602: 4-5-6-20-33)",4,false,false,false,2026-05-11 13:11:22.176 +0700
T4,2026-04-29,"2","00610",16,19,21,25,26,2,0,6258085000,0,10000000,3,5000000,67,500000,134,100000,1983,30000,10903,10000,0,2,3,0,X,C,CC,2,"0,3","19",1,,1,2,0,0,"62",107,"0230",46,CLLLC,72,16,20,,"11",1,2,"396 (00214: 16-19-25-26-32)",4,false,false,false,2026-05-11 13:11:22.178 +0700
T4,2026-04-29,"1","00609",2,17,27,29,31,1,0,6119135000,1,10000000,1,5000000,26,500000,89,100000,1168,30000,6049,10000,1,1,2,1,X,L,CL,1,,"2-17-29-31",4,,0,0,0,0,"72",106,"1121",3,CLLLL,9,14,20,,"11",1,1,"73 (00536: 2-14-17-21-27)",3,false,false,true,2026-05-11 13:11:22.180 +0700
T3,2026-04-28,"2","00608",4,6,15,24,35,11,1,6135557500,0,10000000,37,5000000,50,500000,143,100000,1510,30000,11076,10000,2,1,1,1,Z,L,CL,3,,,0,,0,0,1,1,"42,52",84,"2111",10,CCLCL,12,8,20,,"11",1,0,"91 (00517: 4-5-6-24-26)",3,true,false,false,2026-05-11 13:11:22.185 +0700
T3,2026-04-28,"1","00607",3,9,13,30,35,1,0,6135557500,0,10000000,3,5000000,29,500000,75,100000,1224,30000,6653,10000,2,1,0,2,X,L,LL,1,"2","3-13",2,,0,1,2,1,"32",90,"2102",38,LLLCL,98,14,20,,"11",1,1,"14 (00593: 3-12-13-30-31)",3,false,false,false,2026-05-11 13:11:22.189 +0700
T2,2026-04-27,"2","00606",9,10,23,29,35,8,1,23135180500,4,10000000,68,5000000,807,500000,2484,100000,25227,30000,208958,10000,1,1,2,1,Y,C,LL,1,,"23-29",2,,1,0,1,1,"92",106,"1121",18,LCLLL,22,29,20,"23","11,23",2,0,"182 (00424: 9-23-29-34-35)",4,true,false,false,2026-05-11 13:11:22.192 +0700
T2,2026-04-27,"1","00605",6,17,32,34,35,4,0,14282461000,0,10000000,6,5000000,107,500000,299,100000,3689,30000,29602,10000,1,1,0,3,X,C,CL,3,"2","17",1,,1,1,3,1,,124,"1103",61,CLCCL,3,18,20,,"11,23",2,46,"1 (00604: 9-17-22-34-35)",3,false,false,false,2026-05-11 13:11:22.195 +0700
CN,2026-04-26,"2","00604",9,17,22,34,35,10,0,12891779500,2,10000000,9,5000000,99,500000,379,100000,3606,30000,27682,10000,1,1,1,2,Z,C,LL,2,,"17",1,"22",1,0,0,2,,117,"1112",4,LLCCL,5,9,20,,"11,23",2,45,"9 (00595: 1-2-9-17-34)",3,false,false,false,2026-05-11 13:11:22.197 +0700
CN,2026-04-26,"1","00603",8,12,13,16,24,9,0,11746102500,2,10000000,9,5000000,80,500000,232,100000,2496,30000,17122,10000,1,3,1,0,Z,L,CC,4,"3","13",1,,1,0,0,0,,73,"1310",14,CCLCC,11,10,20,,"11,23",2,44,"49 (00554: 12-13-18-23-24)",3,false,false,false,2026-05-11 13:11:22.201 +0700
T7,2026-04-25,"2","00602",4,5,6,20,33,12,0,11035120500,0,10000000,5,5000000,79,500000,213,100000,2471,30000,16581,10000,3,0,1,1,Z,C,CL,3,"1","5",1,"33",2,0,1,1,,68,"3011",28,CLCCL,1,12,20,,"11,23",2,43,"347 (00255: 4-6-11-20-33)",4,false,false,false,2026-05-11 13:11:22.203 +0700
T7,2026-04-25,"1","00601",4,17,22,24,29,1,0,10094183000,0,10000000,2,5000000,64,500000,94,100000,1889,30000,8870,10000,1,1,3,0,X,L,CL,3,"3","17-29",2,"22",0,0,0,1,"42",96,"1130",53,CLCCL,4,21,20,"29","11,23,29",3,42,"53 (00548: 9-17-22-23-29)",3,false,false,false,2026-05-11 13:11:22.206 +0700
T6,2026-04-24,"2","00600",8,15,21,31,35,10,0,9461509000,1,10000000,8,5000000,60,500000,211,100000,2057,30000,17163,10000,1,1,1,2,Z,C,CL,1,,"31",1,,0,0,0,1,"12,52",110,"1112",19,CLLLL,29,12,20,,"11,23",2,41,"29 (00571: 8-17-21-31-35)",4,false,false,false,2026-05-11 13:11:22.208 +0700
T6,2026-04-24,"1","00599",1,5,6,14,27,5,0,8715463000,1,10000000,3,5000000,44,500000,101,100000,1637,30000,11864,10000,3,1,1,0,Y,L,LL,2,"3","5",1,,1,0,1,0,,53,"3110",59,LLCCL,11,15,20,,"23",1,40,"64 (00535: 3-4-6-14-27)",3,false,false,false,2026-05-11 13:11:22.211 +0700
T5,2026-04-23,"2","00598",1,8,16,21,34,11,0,8150227000,2,10000000,9,5000000,54,500000,173,100000,1889,30000,15179,10000,2,1,1,1,Z,L,LC,3,,,0,,0,0,0,2,"12",80,"2111",73,LCCLC,56,9,20,,"23",1,39,"52 (00546: 1-8-14-16-28)",3,false,false,false,2026-05-11 13:11:22.213 +0700
CN,2026-05-10,"2","00632",20,21,22,32,34,4,0,8723457500,0,10000000,0,5000000,85,500000,164,100000,2046,30000,13843,10000,0,0,3,2,X,C,CC,4,"0,1",,0,"22",2,0,2,1,"22",129,"0032",247,CLCCC,10,10,20,,,0,24,"171 (00461: 13-20-22-32-34)",4,false,false,false,2026-05-11 13:11:22.101 +0700
CN,2026-05-10,"1","00631",5,7,20,28,34,3,0,8491305000,0,10000000,10,5000000,76,500000,156,100000,1772,30000,10687,10000,2,0,2,1,X,L,LC,3,"1","5-7",2,,0,0,0,0,,94,"2021",76,LLCCC,44,16,20,,,0,23,"213 (00418: 5-7-10-28-29)",3,false,false,false,2026-05-11 13:11:22.105 +0700
